Type,Unique ID,ID,Name,Begin Time,End Time,Life Time,
"Process",0,0,"ntoskrnl.exe",0.00,"1,60,056.17","1,60,056.17",
"Thread",0,0,"Unknown",0.00,"1,60,056.17","1,60,056.17",
"Thread",1,0,"Unknown",0.00,"1,60,056.17","1,60,056.17",
"Thread",2,0,"Unknown",0.00,"1,60,056.17","1,60,056.16",
"Thread",3,0,"Unknown",0.00,"1,60,056.17","1,60,056.16",
"Process",1,10236,"dotnet.exe",169.14,"1,60,056.17","1,59,887.03",
"Thread",4,1824,"Unknown",169.62,"1,60,056.17","1,59,886.55",
"Thread",5,14216,"Unknown","1,353.38","61,353.15","59,999.77",
"Thread",6,968,"Unknown","1,590.26","61,353.15","59,762.90",
"Thread",7,8576,"Unknown","1,593.10","61,353.15","59,760.05",
"Thread",8,12840,"Unknown","1,598.57","1,60,056.17","1,58,457.60",
"Thread",9,1860,"Unknown","1,613.75","1,60,056.17","1,58,442.42",
"Thread",10,8984,"Unknown","1,776.61","1,805.72",29.11,
"Thread",11,11848,"Unknown","1,953.24","1,60,056.17","1,58,102.93",
"Thread",12,13832,"Unknown","1,953.59","1,60,056.17","1,58,102.57",
"Thread",13,13716,"Unknown","1,953.74","1,24,673.63","1,22,719.88",
"Thread",14,10032,"Unknown","1,972.07","84,937.98","82,965.90",
"Thread",15,4116,"Unknown","1,972.15","3,477.62","1,505.47",
"Thread",16,11216,"Unknown","1,972.53","21,977.80","20,005.27",
"Thread",17,7884,"Unknown","2,199.15","84,938.52","82,739.37",
"Thread",18,10432,"Unknown","2,199.19","84,938.50","82,739.31",
"Thread",19,8712,"Unknown","2,199.22","84,938.49","82,739.27",
"Thread",20,12856,"Unknown","64,936.59","1,47,180.10","82,243.50",
"Thread",21,7868,"Unknown","64,936.63","66,436.82","1,500.19",
"Thread",22,11484,"Unknown","64,941.54","1,47,180.20","82,238.66",
"Thread",23,12516,"Unknown","64,941.57","1,47,180.20","82,238.63",
"Thread",24,3228,"Unknown","64,941.60","1,47,180.23","82,238.63",
"Thread",25,4660,"Unknown","94,400.28","1,14,402.37","20,002.09",
"Thread",26,8000,"Unknown","94,400.31","95,902.79","1,502.47",
"Thread",27,4272,"Unknown","1,27,179.56","1,60,056.17","32,876.60",
"Thread",28,8052,"Unknown","1,27,179.59","1,28,680.47","1,500.88",
"Thread",29,12804,"Unknown","1,27,184.74","1,60,056.17","32,871.42",
"Thread",30,6492,"Unknown","1,27,184.78","1,60,056.17","32,871.39",
"Thread",31,12240,"Unknown","1,27,184.80","1,60,056.17","32,871.37",
"Thread",32,5888,"Unknown","1,57,231.99","1,60,056.17","2,824.18",
"Thread",33,11280,"Unknown","1,57,232.02","1,58,732.33","1,500.31",
"Thread",34,12928,"Unknown","1,57,242.34","1,60,056.17","2,813.82",
"Thread",35,10536,"Unknown","1,57,242.38","1,60,056.17","2,813.79",
"Thread",36,13324,"Unknown","1,57,242.40","1,60,056.17","2,813.76",
